"Name","Description"
"Print Operators","Members can administer printers installed on domain controllers"
"Pre-Windows 2000 Compatible Access","A backward compatibility group which allows read access on all users and groups in the domain"
"Performance Monitor Users","Members of this group can access performance counter data locally and remotely"
"RDS Endpoint Servers","Servers in this group run virtual machines and host sessions where users RemoteApp programs and personal virtual desktops run. This group needs to be populated on servers running RD Connection Broker. RD Session Host servers and RD Virtualization Host servers used in the deployment need to be in this group."
"RAS and IAS Servers","Servers in this group can access remote access properties of users"
"Protected Users","Members of this group are afforded additional protections against authentication security threats. See http://go.microsoft.com/fwlink/?LinkId=298939 for more information."
"Incoming Forest Trust Builders","Members of this group can create incoming, one-way trusts to this forest"
"IIS_IUSRS","Built-in group used by Internet Information Services."
"Hyper-V Administrators","Members of this group have complete and unrestricted access to all features of Hyper-V."
"Performance Log Users","Members of this group may schedule logging of performance counters, enable trace providers, and collect event traces both locally and via remote access to this computer"
"Network Configuration Operators","Members in this group can have some administrative privileges to manage configuration of networking features"
"Key Admins","Members of this group can perform administrative actions on key objects within the domain."
"Storage Replica Administrators","Members of this group have complete and unrestricted access to all features of Storage Replica."
"Server Operators","Members can administer domain servers"
"Schema Admins","Designated administrators of the schema"
"Windows Authorization Access Group","Members of this group have access to the computed tokenGroupsGlobalAndUniversal attribute on User objects"
"Users","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"Terminal Server License Servers","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"Read-only Domain Controllers","Members of this group are Read-Only Domain Controllers in the domain"
"RDS Remote Access Servers","Servers in this group enable users of RemoteApp programs and personal virtual desktops access to these resources. In Internet-facing deployments, these servers are typically deployed in an edge network. This group needs to be populated on servers running RD Connection Broker. RD Gateway servers and RD Web Access servers used in the deployment need to be in this group."
"RDS Management Servers","Servers in this group can perform routine administrative actions on servers running Remote Desktop Services. This group needs to be populated on all servers in a Remote Desktop Services deployment. The servers running the RDS Central Management service must be included in this group."
"Replicator","Supports file replication in a domain"
"Remote Management Users","Members of this group can access WMI resources over management protocols (such as WS-Management via the Windows Remote Management service). This applies only to WMI namespaces that grant access to the user."
"Remote Desktop Users","Members in this group are granted the right to logon remotely"
"Cryptographic Operators","Members are authorized to perform cryptographic operations."
"Cloneable Domain Controllers","Members of this group that are domain controllers may be cloned."
"Certificate Service DCOM Access","Members of this group are allowed to connect to Certification Authorities in the enterprise"
"DnsAdmins","DNS Administrators Group"
"Distributed COM Users","Members are allowed to launch, activate and use Distributed COM objects on this machine."
"Denied RODC Password Replication Group","Members in this group cannot have their passwords replicated to any read-only domain controllers in the domain"
"Administrators","Administrators have complete and unrestricted access to the computer/domain"
"Account Operators","Members can administer domain user and group accounts"
"Access Control Assistance Operators","Members of this group can remotely query authorization attributes and permissions for resources on this computer."
"Cert Publishers","Members of this group are permitted to publish certificates to the directory"
"Backup Operators","Backup Operators can override security restrictions for the sole purpose of backing up or restoring files"
"Allowed RODC Password Replication Group","Members in this group can have their passwords replicated to all read-only domain controllers in the domain"
"Enterprise Read-only Domain Controllers","Members of this group are Read-Only Domain Controllers in the enterprise"
"Enterprise Key Admins","Members of this group can perform administrative actions on key objects within the forest."
"Enterprise Admins","Designated administrators of the enterprise"
"Guests","Guests have the same access as members of the Users group by default, except for the Guest account which is further restricted"
"Group Policy Creator Owners","Members in this group can modify group policy for the domain"
"Event Log Readers","Members of this group can read event logs from local machine"
"Domain Computers","All workstations and servers joined to the domain"
"Domain Admins","Designated administrators of the domain"
"DnsUpdateProxy","DNS clients who are permitted to perform dynamic updates on behalf of some other clients (such as DHCP servers)."
"Domain Users","All domain users"
"Domain Guests","All domain guests"
"Domain Controllers","All domain controllers in the domain"
